Latitude,Longitude,Elevation
53.07892000,-4.02914000,407.0
53.07892000,-4.02925000,406.0
53.07893000,-4.02929000,405.0
53.07892000,-4.02940000,405.0
53.07891000,-4.02944000,405.0
53.07889000,-4.02950000,405.0
53.07890000,-4.02956000,405.0
53.07891000,-4.02964000,405.0
53.07891000,-4.02971000,405.0
53.07889000,-4.02978000,405.0
53.07887000,-4.02985000,406.0
53.07885000,-4.02992000,407.0
53.07884000,-4.03001000,407.0
53.07881000,-4.03007000,407.0
53.07879000,-4.03008000,407.0
53.07872000,-4.03014000,409.0
53.07868000,-4.03016000,410.0
53.07865000,-4.03017000,410.0
53.07862000,-4.03020000,411.0
53.07859000,-4.03026000,411.0
53.07854000,-4.03034000,412.0
53.07851000,-4.03036000,413.0
53.07844000,-4.03039000,414.0
53.07838000,-4.03043000,415.0
53.07836000,-4.03045000,416.0
53.07834000,-4.03048000,416.0
53.07834000,-4.03050000,416.0
53.07833000,-4.03053000,416.0
53.07838000,-4.03066000,414.0
53.07838000,-4.03074000,414.0
53.07839000,-4.03082000,414.0
53.07839000,-4.03085000,414.0
53.07839000,-4.03099000,414.0
53.07839000,-4.03104000,414.0
53.07839000,-4.03109000,414.0
53.07838000,-4.03112000,414.0
53.07837000,-4.03115000,415.0
53.07836000,-4.03119000,416.0
53.07837000,-4.03123000,416.0
53.07838000,-4.03127000,416.0
53.07841000,-4.03134000,416.0
53.07845000,-4.03145000,416.0
53.07847000,-4.03152000,416.0
53.07847000,-4.03158000,416.0
53.07846000,-4.03163000,417.0
53.07845000,-4.03167000,417.0
53.07844000,-4.03169000,418.0
53.07840000,-4.03178000,420.0
53.07838000,-4.03184000,421.0
53.07837000,-4.03188000,422.0
53.07835000,-4.03193000,423.0
53.07833000,-4.03204000,425.0
53.07832000,-4.03210000,426.0
53.07831000,-4.03217000,427.0
53.07828000,-4.03231000,428.0
53.07822000,-4.03254000,431.0
53.07820000,-4.03267000,432.0
53.07818000,-4.03275000,433.0
53.07817000,-4.03284000,434.0
53.07817000,-4.03296000,434.0
53.07818000,-4.03305000,435.0
53.07818000,-4.03312000,435.0
53.07817000,-4.03316000,436.0
53.07817000,-4.03320000,436.0
53.07816000,-4.03325000,437.0
53.07815000,-4.03329000,437.0
53.07815000,-4.03332000,437.0
53.07815000,-4.03337000,438.0
53.07814000,-4.03342000,439.0
53.07812000,-4.03353000,440.0
53.07810000,-4.03359000,442.0
53.07809000,-4.03366000,443.0
53.07807000,-4.03375000,444.0
53.07806000,-4.03386000,445.0
53.07806000,-4.03392000,446.0
53.07806000,-4.03400000,447.0
53.07806000,-4.03410000,449.0
53.07805000,-4.03419000,451.0
53.07804000,-4.03435000,455.0
53.07803000,-4.03447000,458.0
53.07803000,-4.03453000,459.0
53.07803000,-4.03457000,460.0
53.07804000,-4.03460000,460.0
53.07806000,-4.03463000,460.0
53.07808000,-4.03466000,460.0
53.07808000,-4.03471000,461.0
53.07808000,-4.03476000,462.0
53.07808000,-4.03478000,463.0
53.07808000,-4.03484000,464.0
53.07809000,-4.03488000,464.0
53.07810000,-4.03491000,465.0
53.07811000,-4.03495000,465.0
53.07815000,-4.03512000,465.0
53.07819000,-4.03529000,465.0
53.07821000,-4.03537000,465.0
53.07822000,-4.03544000,465.0
53.07822000,-4.03545000,465.0
53.07821000,-4.03547000,466.0
53.07821000,-4.03549000,466.0
53.07820000,-4.03554000,467.0
53.07820000,-4.03556000,467.0
53.07820000,-4.03559000,468.0
53.07820000,-4.03563000,468.0
53.07821000,-4.03573000,470.0
53.07823000,-4.03579000,469.0
53.07824000,-4.03585000,470.0
53.07825000,-4.03593000,470.0
53.07826000,-4.03604000,471.0
53.07827000,-4.03619000,472.0
53.07827000,-4.03630000,474.0
53.07829000,-4.03645000,476.0
53.07829000,-4.03656000,478.0
53.07831000,-4.03663000,478.0
53.07832000,-4.03666000,478.0
53.07834000,-4.03670000,478.0
53.07836000,-4.03675000,478.0
53.07839000,-4.03678000,478.0
53.07840000,-4.03679000,478.0
53.07842000,-4.03681000,478.0
53.07843000,-4.03683000,478.0
53.07843000,-4.03690000,479.0
53.07843000,-4.03698000,481.0
53.07841000,-4.03705000,483.0
53.07842000,-4.03712000,484.0
53.07842000,-4.03721000,486.0
53.07842000,-4.03723000,486.0
53.07841000,-4.03729000,488.0
53.07844000,-4.03735000,489.0
53.07846000,-4.03742000,490.0
53.07847000,-4.03748000,491.0
53.07846000,-4.03761000,494.0
53.07846000,-4.03770000,496.0
53.07845000,-4.03778000,499.0
53.07841000,-4.03778000,500.0
53.07839000,-4.03780000,502.0
53.07839000,-4.03784000,502.0
53.07839000,-4.03786000,503.0
53.07838000,-4.03794000,504.0
53.07836000,-4.03801000,506.0
53.07832000,-4.03806000,510.0
53.07829000,-4.03812000,513.0
53.07829000,-4.03814000,513.0
53.07831000,-4.03818000,513.0
53.07832000,-4.03818000,512.0
53.07836000,-4.03825000,511.0
53.07835000,-4.03837000,514.0
53.07836000,-4.03837000,513.0
53.07835000,-4.03844000,515.0
53.07834000,-4.03860000,519.0
53.07835000,-4.03873000,521.0
53.07836000,-4.03883000,523.0
53.07836000,-4.03892000,525.0
53.07836000,-4.03899000,525.0
53.07835000,-4.03902000,527.0
53.07835000,-4.03906000,527.0
53.07836000,-4.03911000,527.0
53.07837000,-4.03914000,527.0
53.07839000,-4.03919000,527.0
53.07840000,-4.03925000,527.0
53.07839000,-4.03935000,529.0
53.07839000,-4.03950000,531.0
53.07838000,-4.03956000,532.0
53.07838000,-4.03959000,532.0
53.07837000,-4.03963000,533.0
53.07836000,-4.03969000,534.0
53.07835000,-4.03974000,536.0
53.07834000,-4.03980000,537.0
53.07834000,-4.03985000,538.0
53.07835000,-4.03992000,538.0
53.07835000,-4.03995000,538.0
53.07835000,-4.04000000,538.0
53.07835000,-4.04005000,538.0
53.07833000,-4.04013000,539.0
53.07831000,-4.04022000,540.0
53.07828000,-4.04026000,541.0
53.07827000,-4.04031000,541.0
53.07825000,-4.04035000,542.0
53.07823000,-4.04039000,542.0
53.07822000,-4.04044000,542.0
53.07822000,-4.04049000,542.0
