Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2513,Barley,2021,2021,1000 t,2,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2514,Maize,2021,2021,1000 t,3,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2515,Rye,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2516,Oats,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2520,Cereals,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2532,Cassava,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2531,Potatoes,2021,2021,1000 t,5,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2535,Yams,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2511,Wheat,2021,2021,1000 t,113,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2807,Rice,2021,2021,1000 t,103,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2513,Barley,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2514,Maize,2021,2021,1000 t,12,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2515,Rye,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2516,Oats,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2517,Millet,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2518,Sorghum,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2520,Cereals,2021,2021,1000 t,6,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2532,Cassava,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2531,Potatoes,2021,2021,1000 t,55,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),48,Bahrain,5142,Food,S2535,Yams,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2511,Wheat,2021,2021,1000 t,3072,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2807,Rice,2021,2021,1000 t,44257,I,Imputed value
FBS,Food Balances (2010-),50,Bangladesh,5142,Food,S2513,Barley,2021,2021,1000 t,2,I,Imputed value
